Original comparison	Species	Majority protein IDs	Fasta headers	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	A1	A2	A3	B1	B2	B3
50Vs5	yeast	P53250	>sp|P53250|TWF1_YEAST Twinfilin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TWF1 PE=1 SV=1	2	2	2	9	9	9	37.07	3.52E+06	3.26E+06	3.51E+06		4.25E+06	3.86E+06
50Vs5	yeast	P07263	>sp|P07263|SYH_YEAST Histidine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HTS1 PE=1 SV=2	6	5	5	16.8	15.2	15.2	59.952	2.72E+07	2.64E+07	2.75E+07	2.38E+07	3.04E+07	2.88E+07
50Vs5	yeast	Q04304	>sp|Q04304|YMY0_YEAST UPF0659 protein YMR090W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR090W PE=1 SV=1	2	2	2	9.7	9.7	9.7	24.882	4.65E+06	2.64E+06	3.27E+06		3.31E+06	3.03E+06
50Vs5	yeast	P32288	>sp|P32288|GLNA_YEAST Glutamine synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLN1 PE=1 SV=4	12	12	12	41.1	41.1	41.1	41.766	1.60E+08	1.67E+08	1.65E+08	1.87E+08	1.98E+08	2.04E+08
50Vs0.5	yeast	P07267	>sp|P07267|CARP_YEAST Saccharopepsin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP4 PE=1 SV=1	10	10	10	35.6	35.6	35.6	44.498	3.20E+08	3.14E+08	3.27E+08	3.10E+08	3.10E+08	2.51E+08
25Vs12.5	yeast	P40414	>sp|P40414|TPM2_YEAST Tropomyosin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPM2 PE=1 SV=1	1	1	1	11.8	11.8	11.8	19.093	9.95E+06	9.93E+06	9.02E+06	1.03E+07	7.89E+06	1.06E+07
50Vs0.5	yeast	P39533	>sp|P39533|ACON2_YEAST Probable aconitate hydratase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACO2 PE=1 SV=1	5	4	4	6.3	5.4	5.4	86.582	8.72E+06	8.18E+06	7.09E+06	9.78E+06	9.04E+06	8.25E+06
50Vs5	yeast	P46990	>sp|P46990|RL17B_YEAST 60S ribosomal protein L17-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL17B PE=1 SV=2	3	3	1	21.2	21.2	5.4	20.551	5.61E+06	5.18E+06	6.48E+06	5.23E+06	6.07E+06	6.29E+06
50Vs0.5	yeast	Q01560	>sp|Q01560|NOP3_YEAST Nucleolar protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NPL3 PE=1 SV=1	5	5	5	21	21	21	45.407	9.08E+07	9.56E+07	9.16E+07	1.05E+08	1.07E+08	1.01E+08
50Vs0.5	yeast	P05030;P19657	>sp|P05030|PMA1_YEAST Plasma membrane ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMA1 PE=1 SV=2;>sp|P19657|PMA2_YEAST Plasma membrane ATPase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMA2 PE=1 SV=3	13	13	13	17.4	17.4	17.4	99.618	2.18E+08	2.17E+08	2.39E+08	1.93E+08	2.07E+08	2.09E+08
50Vs0.5	yeast	P13298	>sp|P13298|PYRE_YEAST Orotate phosphoribosyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=URA5 PE=1 SV=2	8	8	6	52.7	52.7	43.4	24.664	3.81E+07	3.92E+07	3.55E+07	3.77E+07	3.12E+07	3.32E+07
50Vs5	yeast	Q04013	>sp|Q04013|YHM2_YEAST Mitochondrial DNA replication protein YHM2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHM2 PE=1 SV=1	3	3	3	13.1	13.1	13.1	34.184	4.71E+06	5.21E+06	5.01E+06	4.37E+06	5.09E+06	5.86E+06
25Vs12.5	yeast	P39073	>sp|P39073|SSN3_YEAST Meiotic mRNA stability protein kinase SSN3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSN3 PE=1 SV=3	1	1	1	1.6	1.6	1.6	62.846	3.38E+07	3.82E+07	3.64E+07	3.83E+07	3.24E+07	3.68E+07
25Vs12.5	yeast	P00330	>sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5	17	17	11	60.3	60.3	37.9	36.849	1.34E+09	1.32E+09	1.28E+09	1.34E+09	1.39E+09	1.40E+09
50Vs0.5	yeast	P40202	>sp|P40202|CCS1_YEAST Superoxide dismutase 1 copper chaperone OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCS1 PE=1 SV=1	2	2	2	11.2	11.2	11.2	27.33	1.95E+07	1.94E+07	1.94E+07	1.84E+07	1.67E+07	1.76E+07
50Vs0.5	yeast	P43616	>sp|P43616|DUG1_YEAST Cys-Gly metallodipeptidase DUG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DUG1 PE=1 SV=1	12	12	12	38.3	38.3	38.3	52.871	1.68E+08	1.71E+08	1.67E+08	1.87E+08	1.96E+08	1.88E+08
50Vs0.5	yeast	P15625	>sp|P15625|SYFA_YEAST Phenylalanine--tRNA ligase alpha subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FRS2 PE=1 SV=3	10	10	10	26	26	26	57.511	1.10E+08	9.90E+07	9.59E+07	8.96E+07	8.89E+07	9.66E+07
50Vs0.5	yeast	P06208	>sp|P06208|LEU1_YEAST 2-isopropylmalate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LEU4 PE=1 SV=1	16	16	16	31.3	31.3	31.3	68.408	1.20E+08	1.04E+08	9.59E+07	1.18E+08	1.18E+08	1.24E+08
25Vs12.5	yeast	P40212;Q12690	>sp|P40212|RL13B_YEAST 60S ribosomal protein L13-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL13B PE=1 SV=1;>sp|Q12690|RL13A_YEAST 60S ribosomal protein L13-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL13A PE=1 SV=1	11	11	11	53.3	53.3	53.3	22.525	3.45E+08	3.76E+08	3.75E+08	3.66E+08	3.70E+08	3.49E+08
50Vs5	yeast	P41939	>sp|P41939|IDHC_YEAST Isocitrate dehydrogenase [NADP] cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IDP2 PE=1 SV=2	12	9	9	34.7	28.9	28.9	46.562	5.85E+07	5.81E+07	5.60E+07	6.44E+07	6.89E+07	7.36E+07
25Vs12.5	yeast	P40495	>sp|P40495|LYS12_YEAST Homoisocitrate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LYS12 PE=1 SV=1	5	5	5	15.1	15.1	15.1	40.068	2.23E+07	2.28E+07	2.26E+07	2.14E+07	2.14E+07	2.44E+07
50Vs0.5	yeast	P38328	>sp|P38328|ARPC1_YEAST Actin-related protein 2/3 complex subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARC40 PE=1 SV=1	2	2	2	10.2	10.2	10.2	42.474	3.11E+07	2.99E+07	2.71E+07	3.18E+07	3.18E+07	3.57E+07
50Vs5	yeast	P0C0W9;Q3E757	>sp|P0C0W9|RL11A_YEAST 60S ribosomal protein L11-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL11A PE=1 SV=2;>sp|Q3E757|RL11B_YEAST 60S ribosomal protein L11-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL11B PE=1 SV=3	7	7	7	43.7	43.7	43.7	19.719	1.42E+08	1.54E+08	1.39E+08	1.47E+08	1.51E+08	1.46E+08
50Vs0.5	yeast	P29547	>sp|P29547|EF1G1_YEAST Elongation factor 1-gamma 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAM1 PE=1 SV=2	9	7	7	24.8	22.4	22.4	47.087	9.79E+07	1.16E+08	9.54E+07	8.81E+07	9.84E+07	9.27E+07
50Vs0.5	yeast	P38088	>sp|P38088|SYG_YEAST Glycine--tRNA ligase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRS1 PE=1 SV=3	13	13	13	24.3	24.3	24.3	78.183	1.23E+08	1.17E+08	1.15E+08	1.39E+08	1.30E+08	1.32E+08
50Vs0.5	yeast	P53852	>sp|P53852|SYC_YEAST Cysteine--tRNA ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL247W PE=1 SV=1	5	5	5	7.2	7.2	7.2	87.529	2.81E+07	2.98E+07	2.87E+07	3.07E+07	3.39E+07	3.32E+07
50Vs0.5	yeast	P0CX80;P0CX81	>sp|P0CX80|MTCU1_YEAST Copper metallothionein 1-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CUP1-1 PE=1 SV=1;>sp|P0CX81|MTCU2_YEAST Copper metallothionein 1-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CUP1-2 PE=1 SV=1	2	2	2	39.3	39.3	39.3	6.6504	6.02E+07	5.73E+07	5.72E+07	6.63E+07	6.47E+07	6.59E+07
50Vs0.5	yeast	P47176	>sp|P47176|BCA2_YEAST Branched-chain-amino-acid aminotransferase, cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BAT2 PE=1 SV=1	11	9	9	38.8	31.9	31.9	41.624	1.32E+08	1.26E+08	1.21E+08	1.45E+08	1.35E+08	1.47E+08
50Vs5	yeast	P48589	>sp|P48589|RS12_YEAST 40S ribosomal protein S12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS12 PE=1 SV=1	8	8	8	60.1	60.1	60.1	15.471	2.18E+08	2.34E+08	2.38E+08	2.31E+08	2.25E+08	2.49E+08
25Vs12.5	yeast	P38707	>sp|P38707|SYNC_YEAST Asparagine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DED81 PE=1 SV=1	13	13	13	28.3	28.3	28.3	62.206	1.53E+08	1.60E+08	1.46E+08	1.48E+08	1.54E+08	1.53E+08
25Vs12.5	yeast	P05756	>sp|P05756|RS13_YEAST 40S ribosomal protein S13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS13 PE=1 SV=3	6	6	6	35.1	35.1	35.1	17.029	1.77E+08	1.99E+08	1.83E+08	1.87E+08	1.86E+08	1.79E+08
50Vs5	yeast	P22146	>sp|P22146|GAS1_YEAST 1,3-beta-glucanosyltransferase GAS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAS1 PE=1 SV=2	2	2	2	6.6	6.6	6.6	59.582	1.57E+07	1.59E+07	1.90E+07	1.85E+07	2.22E+07	1.98E+07
50Vs5	yeast	P19454	>sp|P19454|CSK22_YEAST Casein kinase II subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CKA2 PE=1 SV=2	2	2	2	7.4	7.4	7.4	39.403	5.25E+06	5.10E+06	5.67E+06	4.34E+06	5.95E+06	6.26E+06
50Vs5	yeast	P46672	>sp|P46672|G4P1_YEAST GU4 nucleic-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARC1 PE=1 SV=2	9	9	9	31.9	31.9	31.9	42.083	1.28E+08	1.33E+08	1.30E+08	1.49E+08	1.60E+08	1.59E+08
50Vs5	yeast	P31116	>sp|P31116|DHOM_YEAST Homoserine dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HOM6 PE=1 SV=1	13	13	13	46.2	46.2	46.2	38.502	1.55E+08	1.62E+08	1.68E+08	1.87E+08	1.90E+08	2.03E+08
25Vs12.5	yeast	P32463	>sp|P32463|ACPM_YEAST Acyl carrier protein, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACP1 PE=1 SV=1	1	1	1	12.8	12.8	12.8	13.943	7.96E+06	8.19E+06	8.73E+06	8.62E+06	8.96E+06	8.45E+06
50Vs5	yeast	P36139	>sp|P36139|PET10_YEAST Protein PET10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PET10 PE=1 SV=3	8	8	8	42	42	42	31.246	7.29E+07	6.63E+07	6.87E+07	7.17E+07	7.21E+07	6.86E+07
25Vs12.5	yeast	P22141	>sp|P22141|PSB2_YEAST Proteasome component C11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE1 PE=1 SV=2	2	2	2	9.6	9.6	9.6	22.516	9.13E+06	1.10E+07	1.06E+07	1.01E+07	1.02E+07	1.01E+07
25Vs12.5	yeast	Q08723	>sp|Q08723|RPN8_YEAST 26S proteasome regulatory subunit RPN8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN8 PE=1 SV=3	4	4	4	15.7	15.7	15.7	38.312	1.46E+07	1.78E+07	1.57E+07	1.61E+07	1.76E+07	1.40E+07
50Vs5	yeast	P25293	>sp|P25293|NAP1_YEAST Nucleosome assembly protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAP1 PE=1 SV=2	5	5	5	19.2	19.2	19.2	47.884	2.07E+07	2.05E+07	2.09E+07	2.31E+07	1.90E+07	2.17E+07
50Vs5	yeast	P39683	>sp|P39683|NPT1_YEAST Nicotinate phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NPT1 PE=1 SV=3	3	3	3	8.2	8.2	8.2	49.018	3.71E+06		2.84E+06	4.03E+06	3.41E+06	3.20E+06
25Vs12.5	yeast	P35997;P38711	>sp|P35997|RS27_YEAST 40S ribosomal protein S27-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS27A PE=1 SV=1;>sp|P38711|RS27B_YEAST 40S ribosomal protein S27-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS27B PE=1 SV=1	3	3	3	37.8	37.8	37.8	8.8793	1.51E+08	1.99E+08	2.13E+08	2.18E+08	1.94E+08	1.73E+08
25Vs12.5	yeast	P05317	>sp|P05317|RLA0_YEAST 60S acidic ribosomal protein P0 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP0 PE=1 SV=2	9	9	9	33	33	33	33.717	3.80E+08	3.69E+08	3.54E+08	3.79E+08	3.82E+08	3.94E+08
50Vs0.5	yeast	P00815	>sp|P00815|HIS2_YEAST Histidine biosynthesis trifunctional protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIS4 PE=1 SV=3	8	8	8	15.5	15.5	15.5	87.72	5.71E+07	5.66E+07	5.80E+07	6.68E+07	6.28E+07	6.37E+07
50Vs0.5	yeast	P38115	>sp|P38115|ARA1_YEAST D-arabinose dehydrogenase [NAD(P)+] heavy chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARA1 PE=1 SV=1	5	5	5	21.2	21.2	21.2	38.883	6.20E+07	6.14E+07	6.04E+07	6.72E+07	7.09E+07	6.86E+07
50Vs0.5	yeast	P38011	>sp|P38011|GBLP_YEAST Guanine nucleotide-binding protein subunit beta-like protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASC1 PE=1 SV=4	18	18	18	85.3	85.3	85.3	34.805	7.36E+08	7.33E+08	7.28E+08	8.39E+08	8.26E+08	8.06E+08
50Vs5	yeast	P38431	>sp|P38431|IF5_YEAST Eukaryotic translation initiation factor 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF5 PE=1 SV=1	6	6	6	18	18	18	45.261	4.60E+07	4.53E+07	4.68E+07	5.22E+07	5.63E+07	5.63E+07
25Vs12.5	yeast	P05755;O13516	>sp|P05755|RS9B_YEAST 40S ribosomal protein S9-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS9B PE=1 SV=4;>sp|O13516|RS9A_YEAST 40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS9A PE=1 SV=3	10	10	10	45.6	45.6	45.6	22.298	1.26E+08	1.46E+08	1.38E+08	1.33E+08	1.50E+08	1.46E+08
25Vs12.5	yeast	P25605	>sp|P25605|ILV6_YEAST Acetolactate synthase small subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV6 PE=1 SV=2	4	4	4	19.4	19.4	19.4	33.986	2.48E+07	2.54E+07	2.04E+07	2.33E+07	2.05E+07	2.62E+07
25Vs12.5	yeast	P47143	>sp|P47143|ADK_YEAST Adenosine kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADO1 PE=1 SV=1	8	8	8	33.5	33.5	33.5	36.372	9.95E+07	1.09E+08	1.11E+08	1.11E+08	1.12E+08	9.41E+07
50Vs0.5	yeast	P07280;P07281	>sp|P07280|RS19A_YEAST 40S ribosomal protein S19-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS19A PE=1 SV=2;>sp|P07281|RS19B_YEAST 40S ribosomal protein S19-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS19B PE=1 SV=2	8	8	8	57.6	57.6	57.6	15.917	2.75E+08	2.92E+08	3.05E+08	2.65E+08	2.55E+08	2.71E+08
25Vs12.5	yeast	P17423	>sp|P17423|KHSE_YEAST Homoserine kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THR1 PE=1 SV=4	4	4	4	13.2	13.2	13.2	38.712	3.19E+07	2.86E+07	3.29E+07	3.22E+07	3.12E+07	2.91E+07
50Vs0.5	yeast	P52490	>sp|P52490|UBC13_YEAST Ubiquitin-conjugating enzyme E2 13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBC13 PE=1 SV=1	2	2	2	17	17	17	17.468	1.57E+07	1.69E+07	1.49E+07	1.78E+07	1.88E+07	1.68E+07
50Vs0.5	yeast	P53870	>sp|P53870|YNT3_YEAST Uncharacterized protein YNL193W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL193W PE=2 SV=2	2	2	2	3.8	3.8	3.8	63.917	3.21E+07	3.29E+07	3.24E+07	3.08E+07	2.77E+07	3.00E+07
50Vs5	yeast	P20606	>sp|P20606|SAR1_YEAST Small COPII coat GTPase SAR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAR1 PE=1 SV=1	5	5	5	35.8	35.8	35.8	21.45	5.45E+07	5.52E+07	5.80E+07	6.32E+07	6.97E+07	6.74E+07
50Vs5	yeast	P53909	>sp|P53909|ADE_YEAST Adenine deaminase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AAH1 PE=1 SV=1	1	1	1	4	4	4	39.635	6.98E+06	6.09E+06	7.42E+06		9.58E+06	8.36E+06
50Vs0.5	yeast	P38625	>sp|P38625|GUAA_YEAST GMP synthase [glutamine-hydrolyzing] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GUA1 PE=1 SV=4	5	5	5	11.2	11.2	11.2	58.482	4.83E+07	4.50E+07	3.99E+07	5.00E+07	4.75E+07	5.19E+07
50Vs5	yeast	P53315	>sp|P53315|SOL4_YEAST 6-phosphogluconolactonase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SOL4 PE=1 SV=1	1	1	1	5.9	5.9	5.9	28.447	8.51E+06	9.34E+06	7.89E+06	9.55E+06	1.04E+07	1.07E+07
50Vs0.5	yeast	Q12074	>sp|Q12074|SPEE_YEAST Spermidine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPE3 PE=1 SV=1	10	10	10	38.9	38.9	38.9	33.324	8.58E+07	8.31E+07	8.55E+07	7.24E+07	7.55E+07	8.36E+07
25Vs12.5	yeast	Q08245	>sp|Q08245|ZEO1_YEAST Protein ZEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ZEO1 PE=1 SV=3	11	11	11	58.4	58.4	58.4	12.589	2.18E+08	2.38E+08	2.57E+08	2.29E+08	2.34E+08	2.42E+08
50Vs5	yeast	P45978	>sp|P45978|SCD6_YEAST Protein SCD6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCD6 PE=1 SV=1	1	1	1	3.2	3.2	3.2	39.189	4.85E+06	5.21E+06	4.60E+06		5.44E+06	5.44E+06
50Vs0.5	yeast	P32316	>sp|P32316|ACH1_YEAST Acetyl-CoA hydrolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACH1 PE=1 SV=2	12	12	12	29.8	29.8	29.8	58.711	1.68E+08	1.75E+08	1.75E+08	1.62E+08	1.57E+08	1.52E+08
50Vs0.5	yeast	P32288	>sp|P32288|GLNA_YEAST Glutamine synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLN1 PE=1 SV=4	11	11	11	37	37	37	41.766	2.10E+08	2.26E+08	2.20E+08	2.38E+08	2.53E+08	2.45E+08
50Vs5	yeast	P08524	>sp|P08524|FPPS_YEAST Farnesyl pyrophosphate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG20 PE=1 SV=2	10	10	10	39.2	39.2	39.2	40.483	2.64E+08	2.64E+08	2.63E+08	3.18E+08	3.14E+08	3.11E+08
50Vs5	yeast	P00899	>sp|P00899|TRPE_YEAST Anthranilate synthase component 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRP2 PE=1 SV=4	8	8	8	20.1	20.1	20.1	56.767	3.44E+07	3.55E+07	3.32E+07	3.39E+07	3.49E+07	3.69E+07
50Vs0.5	yeast	P02400	>sp|P02400|RLA4_YEAST 60S acidic ribosomal protein P2-beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP2B PE=1 SV=2	5	5	5	54.5	54.5	54.5	11.05	2.53E+08	2.63E+08	2.41E+08	2.39E+08	2.20E+08	2.29E+08
50Vs0.5	yeast	P47120	>sp|P47120|DOHH_YEAST Deoxyhypusine hydroxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LIA1 PE=1 SV=1	2	2	2	6.2	6.2	6.2	36.164	8.81E+06	6.81E+06	8.64E+06	7.38E+06	7.31E+06	7.22E+06
50Vs0.5	yeast	P32449	>sp|P32449|AROG_YEAST Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO4 PE=1 SV=2	8	8	8	24.6	24.6	24.6	39.749	1.06E+08	1.04E+08	9.48E+07	9.05E+07	9.28E+07	9.36E+07
50Vs0.5	yeast	P23254	>sp|P23254|TKT1_YEAST Transketolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TKL1 PE=1 SV=4	24	24	24	36.2	36.2	36.2	73.805	7.86E+08	8.23E+08	8.22E+08	7.09E+08	7.43E+08	7.59E+08
50Vs5	yeast	Q05933	>sp|Q05933|ARPC3_YEAST Actin-related protein 2/3 complex subunit 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARC18 PE=1 SV=1	3	3	3	16.3	16.3	16.3	20.578	1.10E+07	7.72E+06	1.03E+07	1.17E+07	1.17E+07	1.08E+07
25Vs12.5	yeast	Q12109	>sp|Q12109|SYWC_YEAST Tryptophan--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=WRS1 PE=1 SV=1	4	4	4	14.1	14.1	14.1	49.35	1.33E+07	1.49E+07	1.42E+07	1.57E+07	1.38E+07	1.47E+07
50Vs5	yeast	P37299	>sp|P37299|QCR10_YEAST Cytochrome b-c1 complex subunit 10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QCR10 PE=1 SV=2	1	1	1	24.7	24.7	24.7	8.5928	3.70E+06	5.32E+06	3.95E+06			4.84E+06
25Vs12.5	yeast	P53303	>sp|P53303|ZPR1_YEAST Zinc finger protein ZPR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ZPR1 PE=1 SV=1	3	3	3	7.6	7.6	7.6	55.071	2.34E+07	2.28E+07	2.17E+07	2.23E+07	2.26E+07	2.23E+07
50Vs5	yeast	P41818	>sp|P41818|GLC8_YEAST Protein GLC8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLC8 PE=1 SV=1	1	1	1	10	10	10	26.649	9.65E+06	9.62E+06	9.46E+06		1.42E+07	1.58E+07
50Vs0.5	yeast	P31373	>sp|P31373|CYS3_YEAST Cystathionine gamma-lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYS3 PE=1 SV=2	14	14	14	61.7	61.7	61.7	42.542	3.63E+08	3.51E+08	3.70E+08	3.97E+08	4.06E+08	4.13E+08
25Vs12.5	yeast	P0C0W1;Q3E7Y3	>sp|P0C0W1|RS22A_YEAST 40S ribosomal protein S22-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS22A PE=1 SV=2;>sp|Q3E7Y3|RS22B_YEAST 40S ribosomal protein S22-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS22B PE=1 SV=3	4	4	4	36.9	36.9	36.9	14.626	1.23E+08	1.34E+08	1.21E+08	1.38E+08	1.20E+08	1.37E+08
25Vs12.5	yeast	P00817	>sp|P00817|IPYR_YEAST Inorganic pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IPP1 PE=1 SV=4	10	10	10	43.6	43.6	43.6	32.299	4.33E+08	4.34E+08	4.03E+08	4.39E+08	4.40E+08	4.48E+08
50Vs5	yeast	Q12447	>sp|Q12447|PAA1_YEAST Polyamine N-acetyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAA1 PE=1 SV=1	7	7	7	40.8	40.8	40.8	21.947	6.49E+07	6.07E+07	6.11E+07	5.82E+07	6.82E+07	6.57E+07
50Vs5	yeast	P32471	>sp|P32471|EF1B_YEAST Elongation factor 1-beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EFB1 PE=1 SV=4	7	7	7	62.6	62.6	62.6	22.627	3.42E+08	3.42E+08	3.37E+08	3.80E+08	4.11E+08	4.25E+08
50Vs0.5	yeast	P33331	>sp|P33331|NTF2_YEAST Nuclear transport factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NTF2 PE=1 SV=2	5	5	5	61.6	61.6	61.6	14.453	1.37E+08	1.35E+08	1.29E+08	1.55E+08	1.44E+08	1.51E+08
50Vs0.5	yeast	P40037	>sp|P40037|HMF1_YEAST Protein HMF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HMF1 PE=1 SV=1	4	4	4	37.2	37.2	37.2	13.906	4.53E+07	4.00E+07	4.04E+07	4.26E+07	4.72E+07	5.09E+07
50Vs5	yeast	P10622	>sp|P10622|RLA3_YEAST 60S acidic ribosomal protein P1-beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP1B PE=1 SV=3	1	1	1	15.1	15.1	15.1	10.667	4.62E+07	4.37E+07	4.49E+07	4.40E+07	4.82E+07	4.63E+07
